Country,kaverage
Albania,3.592014507417853
Algeria,3.445958918288474
Antigua and Barbuda,3.825666501467441
Argentina,3.838334220639105
Armenia,3.640332890619573
Australia,3.3525104787309483
Austria,3.1271411741497257
Azerbaijan,3.7337824079432003
Bahamas,3.7548702164280234
Bahrain,4.332932604048357
Bangladesh,3.548043365396992
Belarus,3.192090639791389
Belgium,2.875559844377344
Belize,4.180059823491623
Benin,4.518934254395519
Bhutan,3.903924471791837
Bolivia (Plurinational State of,3.029082531014989
Bosnia and Herzegovina,3.55419756786432
Botswana,4.056270969523272
Brazil,3.7550389678303624
Brunei Darussalam,3.848821883671586
Bulgaria,4.0643930362495375
Burkina Faso,4.642565779302694
Cabo Verde,4.124144640919718
Cambodia,3.398867416596681
Cameroon,4.51806698296588
Canada,3.097499058520805
Chile,3.6595789479804983
China,3.6585323412303707
Colombia,3.596725383901153
Congo,4.416966592271253
Costa Rica,3.6874308044660062
Croatia,3.404599015798322
Cyprus,3.440849887509599
Czech Republic,3.3847902984908456
Denmark,3.0629499191903817
Dominican Republic,3.7651986488327474
Ecuador,3.613519136557231
Egypt,3.6411907755540205
El Salvador,3.719931891176415
Estonia,3.4517520760906137
Ethiopia,4.565559674341693
Fiji,3.8217894864196795
Finland,2.908610165173693
France,3.1001133892795587
Georgia,3.8013989318918306
Germany,1.7923930825053687
Ghana,3.420243659361743
Greece,3.1777322890561424
Guatemala,4.081338755955492
Guinea,4.370157646249305
Guyana,3.7422236486023377
Haiti,4.060566448679896
Honduras,4.234564965049093
"Hong Kong SAR, China",3.384422960738253
Hungary,3.4601398527982563
Iceland,3.474269328245474
India,3.847659282946741
Indonesia,3.143199996333406
Iran (Islamic Republic of),3.7550729973440276
Iraq,4.3467313548519835
Ireland,3.4347630697388145
Israel,3.8400617250846905
Italy,2.938776873980252
Jamaica,3.743591873544263
Japan,3.1244687128984885
Jordan,4.32714853454928
Kazakhstan,3.792627205358114
Kenya,3.9053260361164956
Kiribati,4.058441002880596
Kuwait,4.160052264759305
Kyrgyzstan,3.8803531422000432
Lao People's Democratic Republi,4.0268742545612835
Latvia,3.766590557271616
Lebanon,3.7888846967993914
Lesotho,3.430983804797392
Liberia,4.3891676767239645
Lithuania,3.634419191850378
Luxembourg,3.4590991377495497
Malaysia,3.5929376782427984
Maldives,3.7074407377068863
Malta,3.3211779579851015
Mauritania,4.427802654113733
Mauritius,3.632052694850246
Mexico,4.036690233405397
Mongolia,3.8392381225644026
Montenegro,3.5722447713262033
Morocco,3.7184211591051475
Mozambique,4.079500099695514
Namibia,3.616740517338586
Nepal,3.758207202234499
Netherlands,2.0434229296645405
New Zealand,3.4239980446278917
Nicaragua,3.898607305839419
Niger,4.9571599056363125
Nigeria,4.161159449483226
Oman,4.450350960209705
Pakistan,4.184054568745599
Panama,3.454402218266738
Paraguay,3.563431077024283
Peru,3.477098942259856
Philippines,3.721832749073218
Poland,4.415033423005428
Portugal,3.026560573820791
Qatar,4.86237277338547
Republic of Korea,3.3510392834603495
Romania,3.409796068686021
Russian Federation,3.4233339762221644
Rwanda,4.507750132794366
Saint Lucia,3.783180044250824
Samoa,3.672630326216069
Sao Tome and Principe ,4.109618224027371
Saudi Arabia,4.102576148447628
Senegal,4.181173931143531
Serbia,3.5702181675965226
Seychelles,3.820666621408022
Sierra Leone,4.504339549087664
Singapore,3.346028420337305
Slovakia,3.4995445151158684
Slovenia,3.260061084242333
Solomon Islands,4.4333457801372695
South Africa,3.944795717027912
Spain,3.187692531804087
Sri Lanka,3.811260002911774
Suriname,3.7351041557970905
Sweden,3.0509423438068
Switzerland,3.1086197154832402
Syrian Arab Republic,3.824032284031489
Tajikistan,4.125757181133684
TFYR of Macedonia,3.6159881983029596
Thailand,3.59891585584463
Timor-Leste,4.562658923761989
Tonga,3.4792785949138256
Tunisia,3.5918053824532628
Turkey,3.717991615464884
Uganda,3.982300252801145
Ukraine,3.4752488432875177
United Arab Emirates,4.84622397889267
United Kingdom of Great Britain,2.245642660835696
United Republic of Tanzania,4.578371389848348
United States of America,3.2448622917021632
Uruguay,3.5360752471690264
Uzbekistan,3.8071660407763197
Vanuatu,4.4428824018718815
Viet Nam,3.7408305728859426
Yemen,4.153213389400915
Zambia,3.8380915754062497
Zimbabwe,4.230413355700228
